Indicator,Measure,Year,Geography,Rate,95% Confidence Interval,Cases,Population,Significant Compared to Ontario,Suppression Flag
Incidence of all cancers,Age-standardized rate (both sexes),2012,Huron Perth Public Health,590.1,(534.3-646.0),444.0,59584.0,No,
Incidence of all cancers,Age-standardized rate (both sexes),2013,Huron Perth Public Health,603.4,(547.0-659.8),460.0,59452.0,Higher,
Incidence of all cancers,Age-standardized rate (both sexes),2014,Huron Perth Public Health,568.2,(512.8-623.5),432.0,59236.0,No,
Incidence of all cancers,Age-standardized rate (both sexes),2010,Chatham-Kent Public Health,598.7,(554.8-642.6),723.0,107490.0,Higher,
Incidence of all cancers,Age-standardized rate (both sexes),2011,Chatham-Kent Public Health,606.3,(562.5-650.2),741.0,106682.0,No,
Incidence of all cancers,Age-standardized rate (both sexes),2012,Chatham-Kent Public Health,574.1,(531.4-616.8),707.0,106270.0,No,
Incidence of all cancers,Age-standardized rate (both sexes),2013,Chatham-Kent Public Health,571.6,(529.3-613.8),720.0,105984.0,No,
Incidence of all cancers,Age-standardized rate (both sexes),2014,Chatham-Kent Public Health,561.6,(519.5-603.6),708.0,105837.0,No,
Incidence of all cancers,Age-standardized rate (both sexes),2010,"Kingston, Frontenac and Lennox & Addington Public Health",529.2,(498.1-560.3),1118.0,195912.0,No,
Incidence of all cancers,Age-standardized rate (both sexes),2011,"Kingston, Frontenac and Lennox & Addington Public Health",595.6,(563.0-628.2),1287.0,197194.0,No,
Incidence of all cancers,Age-standardized rate (both sexes),2012,"Kingston, Frontenac and Lennox & Addington Public Health",567.0,(535.5-598.5),1254.0,198657.0,No,
Incidence of all cancers,Age-standardized rate (both sexes),2013,"Kingston, Frontenac and Lennox & Addington Public Health",505.7,(476.2-535.1),1145.0,199582.0,Lower,
Incidence of all cancers,Age-standardized rate (both sexes),2014,"Kingston, Frontenac and Lennox & Addington Public Health",555.0,(524.5-585.6),1286.0,200616.0,No,
Incidence of all cancers,Age-standardized rate (both sexes),2010,Lambton Public Health,572.7,(534.4-610.9),872.0,131783.0,No,
Incidence of all cancers,Age-standardized rate (both sexes),2011,Lambton Public Health,645.5,(605.2-685.9),1000.0,131356.0,Higher,
Incidence of all cancers,Age-standardized rate (both sexes),2012,Lambton Public Health,547.8,(511.1-584.5),872.0,131121.0,No,
Incidence of all cancers,Age-standardized rate (both sexes),2013,Lambton Public Health,548.4,(511.7-585.1),882.0,130746.0,No,
Incidence of all cancers,Age-standardized rate (both sexes),2014,Lambton Public Health,558.8,(521.8-595.9),907.0,130319.0,No,
Incidence of all cancers,Age-standardized rate (both sexes),2010,"Leeds, Grenville & Lanark District Health Unit",572.9,(539.7-606.0),1164.0,168864.0,No,
Incidence of all cancers,Age-standardized rate (both sexes),2011,"Leeds, Grenville & Lanark District Health Unit",598.5,(565.0-632.1),1244.0,169026.0,Higher,
Incidence of all cancers,Age-standardized rate (both sexes),2012,"Leeds, Grenville & Lanark District Health Unit",579.5,(546.9-612.1),1237.0,169211.0,Higher,
Incidence of all cancers,Age-standardized rate (both sexes),2013,"Leeds, Grenville & Lanark District Health Unit",555.6,(523.8-587.3),1212.0,169122.0,No,
Incidence of all cancers,Age-standardized rate (both sexes),2014,"Leeds, Grenville & Lanark District Health Unit",561.2,(529.6-592.8),1256.0,169156.0,No,
Incidence of all cancers,Age-standardized rate (both sexes),2010,Middlesex-London Health Unit,547.1,(525.2-569.0),2407.0,449928.0,No,
Incidence of all cancers,Age-standardized rate (both sexes),2011,Middlesex-London Health Unit,575.5,(553.3-597.7),2587.0,452845.0,No,
Incidence of all cancers,Age-standardized rate (both sexes),2012,Middlesex-London Health Unit,554.8,(533.3-576.4),2558.0,457495.0,No,
Incidence of all cancers,Age-standardized rate (both sexes),2013,Middlesex-London Health Unit,539.7,(518.7-560.6),2554.0,461470.0,No,
Incidence of all cancers,Age-standardized rate (both sexes),2014,Middlesex-London Health Unit,541.7,(520.9-562.5),2625.0,465255.0,No,
Incidence of all cancers,Age-standardized rate (both sexes),2010,Niagara Region Public Health,599.2,(577.8-620.6),3062.0,441842.0,Higher,
Incidence of all cancers,Age-standardized rate (both sexes),2011,Niagara Region Public Health,589.1,(568.1-610.1),3061.0,442803.0,Higher,
Incidence of all cancers,Age-standardized rate (both sexes),2012,Niagara Region Public Health,568.6,(548.1-589.1),3006.0,444610.0,Higher,
Incidence of all cancers,Age-standardized rate (both sexes),2013,Niagara Region Public Health,555.8,(535.7-575.9),3015.0,445830.0,No,
Incidence of all cancers,Age-standardized rate (both sexes),2014,Niagara Region Public Health,537.8,(518.1-557.4),2965.0,447825.0,No,
Incidence of all cancers,Age-standardized rate (both sexes),2010,North Bay Parry Sound District Health Unit,564.0,(526.1-602.0),862.0,128023.0,No,
Incidence of all cancers,Age-standardized rate (both sexes),2011,North Bay Parry Sound District Health Unit,563.8,(526.4-601.1),890.0,128306.0,No,
Incidence of all cancers,Age-standardized rate (both sexes),2012,North Bay Parry Sound District Health Unit,550.1,(513.3-587.0),875.0,128363.0,No,
Incidence of all cancers,Age-standardized rate (both sexes),2013,North Bay Parry Sound District Health Unit,547.4,(510.9-583.8),892.0,128201.0,No,
Incidence of all cancers,Age-standardized rate (both sexes),2014,North Bay Parry Sound District Health Unit,551.1,(514.8-587.3),919.0,128103.0,No,
Incidence of all cancers,Age-standardized rate (both sexes),2010,Northwestern Health Unit,519.9,(469.1-570.6),404.0,81332.0,No,
Incidence of all cancers,Age-standardized rate (both sexes),2011,Northwestern Health Unit,454.4,(407.3-501.5),358.0,81468.0,Lower,
Incidence of all cancers,Age-standardized rate (both sexes),2012,Northwestern Health Unit,411.9,(367.4-456.5),330.0,81376.0,Lower,
Incidence of all cancers,Age-standardized rate (both sexes),2013,Northwestern Health Unit,433.9,(388.5-479.3),353.0,81394.0,Lower,
Incidence of all cancers,Age-standardized rate (both sexes),2014,Northwestern Health Unit,439.6,(394.2-485.1),362.0,81382.0,Lower,
Incidence of all cancers,Age-standardized rate (both sexes),2010,Ottawa Public Health,501.4,(486.0-516.7),4126.0,899016.0,Lower,
Incidence of all cancers,Age-standardized rate (both sexes),2011,Ottawa Public Health,535.8,(520.2-551.4),4537.0,912248.0,Lower,
Incidence of all cancers,Age-standardized rate (both sexes),2012,Ottawa Public Health,527.4,(512.1-542.7),4599.0,924466.0,Lower,
Incidence of all cancers,Age-standardized rate (both sexes),2013,Ottawa Public Health,509.4,(494.6-524.2),4578.0,936180.0,Lower,
Incidence of all cancers,Age-standardized rate (both sexes),2014,Ottawa Public Health,536.2,(521.2-551.1),4952.0,946870.0,No,
Incidence of all cancers,Age-standardized rate (both sexes),2010,Peel Public Health,494.2,(480.3-508.0),5132.0,1318153.0,Lower,
Incidence of all cancers,Age-standardized rate (both sexes),2011,Peel Public Health,492.5,(479.0-506.0),5317.0,1340528.0,Lower,
Incidence of all cancers,Age-standardized rate (both sexes),2012,Peel Public Health,482.6,(469.5-495.6),5439.0,1364811.0,Lower,
Incidence of all cancers,Age-standardized rate (both sexes),2013,Peel Public Health,485.9,(473.1-498.7),5705.0,1391241.0,Lower,
Incidence of all cancers,Age-standardized rate (both sexes),2014,Peel Public Health,455.5,(443.4-467.5),5612.0,1416156.0,Lower,
Incidence of all cancers,Age-standardized rate (both sexes),2010,Huron Perth Public Health,505.5,(456.0-555.0),406.0,77105.0,No,
Incidence of all cancers,Age-standardized rate (both sexes),2011,Huron Perth Public Health,572.3,(520.3-624.3),471.0,77127.0,No,
Incidence of all cancers,Age-standardized rate (both sexes),2012,Huron Perth Public Health,533.8,(484.2-583.4),451.0,77618.0,No,
Incidence of all cancers,Age-standardized rate (both sexes),2013,Huron Perth Public Health,527.5,(478.6-576.4),453.0,77974.0,No,
Incidence of all cancers,Age-standardized rate (both sexes),2014,Huron Perth Public Health,493.6,(446.9-540.4),435.0,78261.0,No,
Incidence of all cancers,Age-standardized rate (both sexes),2010,Peterborough Public Health,582.6,(545.6-619.6),978.0,138315.0,No,
Incidence of all cancers,Age-standardized rate (both sexes),2011,Peterborough Public Health,588.3,(551.3-625.3),999.0,138494.0,No,
Incidence of all cancers,Age-standardized rate (both sexes),2012,Peterborough Public Health,541.3,(506.0-576.6),935.0,138884.0,No,
Incidence of all cancers,Age-standardized rate (both sexes),2013,Peterborough Public Health,511.8,(478.0-545.6),915.0,139523.0,No,
Incidence of all cancers,Age-standardized rate (both sexes),2014,Peterborough Public Health,548.5,(513.8-583.3),1002.0,139953.0,No,
Incidence of all cancers,Age-standardized rate (both sexes),2010,Porcupine Health Unit,590.5,(539.7-641.4),522.0,88036.0,No,
Incidence of all cancers,Age-standardized rate (both sexes),2011,Porcupine Health Unit,561.6,(512.4-610.7),504.0,87815.0,No,
Incidence of all cancers,Age-standardized rate (both sexes),2012,Porcupine Health Unit,552.3,(504.0-600.6),505.0,87360.0,No,
Incidence of all cancers,Age-standardized rate (both sexes),2013,Porcupine Health Unit,561.1,(512.5-609.7),516.0,87071.0,No,
Incidence of all cancers,Age-standardized rate (both sexes),2014,Porcupine Health Unit,561.2,(512.8-609.6),521.0,86448.0,No,
Incidence of all cancers,Age-standardized rate (both sexes),2010,Renfrew County and District Health Unit,474.8,(435.4-514.1),565.0,104805.0,Lower,
Incidence of all cancers,Age-standardized rate (both sexes),2011,Renfrew County and District Health Unit,510.9,(470.5-551.2),624.0,105395.0,Lower,
Incidence of all cancers,Age-standardized rate (both sexes),2012,Renfrew County and District Health Unit,521.7,(481.6-561.9),658.0,105743.0,No,
Incidence of all cancers,Age-standardized rate (both sexes),2013,Renfrew County and District Health Unit,544.7,(503.7-585.8),693.0,105950.0,No,
Incidence of all cancers,Age-standardized rate (both sexes),2014,Renfrew County and District Health Unit,522.5,(482.5-562.5),675.0,106186.0,No,
Incidence of all cancers,Age-standardized rate (both sexes),2010,Eastern Ontario Health Unit,577.7,(545.8-609.6),1267.0,202211.0,No,
Incidence of all cancers,Age-standardized rate (both sexes),2011,Eastern Ontario Health Unit,561.9,(530.9-593.0),1265.0,203337.0,No,
Incidence of all cancers,Age-standardized rate (both sexes),2012,Eastern Ontario Health Unit,582.8,(551.4-614.1),1343.0,204301.0,Higher,
Incidence of all cancers,Age-standardized rate (both sexes),2013,Eastern Ontario Health Unit,550.6,(520.6-580.5),1312.0,204510.0,No,
Incidence of all cancers,Age-standardized rate (both sexes),2014,Eastern Ontario Health Unit,565.7,(535.5-595.9),1374.0,204812.0,Higher,
Incidence of all cancers,Age-standardized rate (both sexes),2010,Simcoe Muskoka District Health Unit,597.6,(576.9-618.2),3228.0,515036.0,Higher,
Incidence of all cancers,Age-standardized rate (both sexes),2011,Simcoe Muskoka District Health Unit,605.2,(584.8-625.7),3374.0,520025.0,Higher,
Incidence of all cancers,Age-standardized rate (both sexes),2012,Simcoe Muskoka District Health Unit,585.8,(565.9-605.6),3366.0,527519.0,Higher,
Incidence of all cancers,Age-standardized rate (both sexes),2013,Simcoe Muskoka District Health Unit,572.5,(553.2-591.7),3412.0,534775.0,Higher,
Incidence of all cancers,Age-standardized rate (both sexes),2014,Simcoe Muskoka District Health Unit,563.6,(544.7-582.4),3458.0,541990.0,Higher,
Incidence of all cancers,Age-standardized rate (both sexes),2010,Public Health Sudbury & Districts,573.1,(541.0-605.1),1237.0,200155.0,No,
Incidence of all cancers,Age-standardized rate (both sexes),2011,Public Health Sudbury & Districts,570.1,(538.3-601.8),1245.0,199822.0,No,
Incidence of all cancers,Age-standardized rate (both sexes),2012,Public Health Sudbury & Districts,566.8,(535.5-598.2),1265.0,200201.0,No,
Incidence of all cancers,Age-standardized rate (both sexes),2013,Public Health Sudbury & Districts,591.3,(559.5-623.1),1343.0,200461.0,Higher,
Incidence of all cancers,Age-standardized rate (both sexes),2014,Public Health Sudbury & Districts,535.7,(505.7-565.8),1239.0,199948.0,No,
Incidence of all cancers,Age-standardized rate (both sexes),2010,Thunder Bay District Health Unit,619.7,(581.9-657.5),1037.0,155785.0,Higher,
Incidence of all cancers,Age-standardized rate (both sexes),2011,Thunder Bay District Health Unit,623.1,(585.5-660.7),1058.0,155603.0,Higher,
Incidence of all cancers,Age-standardized rate (both sexes),2012,Thunder Bay District Health Unit,544.3,(509.3-579.3),936.0,155602.0,No,
Incidence of all cancers,Age-standardized rate (both sexes),2013,Thunder Bay District Health Unit,562.4,(527.1-597.7),986.0,155470.0,No,
Incidence of all cancers,Age-standardized rate (both sexes),2014,Thunder Bay District Health Unit,568.1,(532.8-603.4),1010.0,155054.0,Higher,
Incidence of all cancers,Age-standardized rate (both sexes),2010,Timiskaming Health Unit,599.7,(525.6-673.7),256.0,35056.0,No,
Incidence of all cancers,Age-standardized rate (both sexes),2011,Timiskaming Health Unit,603.7,(529.6-677.8),261.0,35011.0,No,
Incidence of all cancers,Age-standardized rate (both sexes),2012,Timiskaming Health Unit,690.8,(611.9-769.6),303.0,34860.0,Higher,
Incidence of all cancers,Age-standardized rate (both sexes),2013,Timiskaming Health Unit,609.2,(535.4-683.1),269.0,34684.0,No,
Incidence of all cancers,Age-standardized rate (both sexes),2014,Timiskaming Health Unit,488.2,(422.7-553.7),221.0,34421.0,No,
Incidence of all cancers,Age-standardized rate (both sexes),2010,Region of Waterloo Public Health and Emergency Services,574.1,(551.9-596.3),2579.0,517720.0,No,
Incidence of all cancers,Age-standardized rate (both sexes),2011,Region of Waterloo Public Health and Emergency Services,574.2,(552.3-596.1),2665.0,523753.0,No,
Incidence of all cancers,Age-standardized rate (both sexes),2012,Region of Waterloo Public Health and Emergency Services,543.9,(522.9-564.8),2595.0,529379.0,No,
Incidence of all cancers,Age-standardized rate (both sexes),2013,Region of Waterloo Public Health and Emergency Services,521.9,(501.6-542.1),2567.0,533741.0,No,
Incidence of all cancers,Age-standardized rate (both sexes),2014,Region of Waterloo Public Health and Emergency Services,519.9,(499.9-539.8),2618.0,537837.0,No,
Incidence of all cancers,Age-standardized rate (both sexes),2010,Wellington-Dufferin-Guelph Public Health,557.7,(528.6-586.9),1411.0,271201.0,No,
Incidence of all cancers,Age-standardized rate (both sexes),2011,Wellington-Dufferin-Guelph Public Health,538.3,(510.1-566.6),1401.0,273222.0,No,
Incidence of all cancers,Age-standardized rate (both sexes),2012,Wellington-Dufferin-Guelph Public Health,520.0,(492.6-547.3),1390.0,276200.0,No,
Incidence of all cancers,Age-standardized rate (both sexes),2013,Wellington-Dufferin-Guelph Public Health,508.4,(481.7-535.1),1394.0,278559.0,Lower,
Incidence of all cancers,Age-standardized rate (both sexes),2014,Wellington-Dufferin-Guelph Public Health,506.6,(480.3-532.9),1429.0,281853.0,No,
Incidence of all cancers,Age-standardized rate (both sexes),2010,Windsor-Essex County Health Unit,556.3,(533.1-579.5),2210.0,399887.0,No,
Incidence of all cancers,Age-standardized rate (both sexes),2011,Windsor-Essex County Health Unit,547.7,(524.9-570.5),2222.0,399665.0,No,
Incidence of all cancers,Age-standardized rate (both sexes),2012,Windsor-Essex County Health Unit,585.9,(562.6-609.2),2432.0,401294.0,Higher,
Incidence of all cancers,Age-standardized rate (both sexes),2013,Windsor-Essex County Health Unit,557.0,(534.5-579.4),2371.0,401901.0,No,
Incidence of all cancers,Age-standardized rate (both sexes),2014,Windsor-Essex County Health Unit,564.4,(542.0-586.9),2451.0,402974.0,Higher,
Incidence of all cancers,Age-standardized rate (both sexes),2010,York Region Public Health,495.3,(480.5-510.0),4443.0,1043585.0,Lower,
Incidence of all cancers,Age-standardized rate (both sexes),2011,York Region Public Health,509.9,(495.3-524.5),4798.0,1065504.0,Lower,
Incidence of all cancers,Age-standardized rate (both sexes),2012,York Region Public Health,489.8,(475.8-503.7),4812.0,1086503.0,Lower,
Incidence of all cancers,Age-standardized rate (both sexes),2013,York Region Public Health,488.8,(475.1-502.4),5008.0,1105294.0,Lower,
Incidence of all cancers,Age-standardized rate (both sexes),2014,York Region Public Health,484.5,(471.3-497.8),5196.0,1124443.0,Lower,
Incidence of all cancers,Age-standardized rate (both sexes),2010,Toronto Public Health,516.6,(507.8-525.5),13250.0,2676148.0,Lower,
Incidence of all cancers,Age-standardized rate (both sexes),2011,Toronto Public Health,533.4,(524.5-542.2),13953.0,2704622.0,Lower,
Incidence of all cancers,Age-standardized rate (both sexes),2012,Toronto Public Health,516.1,(507.5-524.8),13817.0,2742316.0,Lower,
Incidence of all cancers,Age-standardized rate (both sexes),2013,Toronto Public Health,510.2,(501.7-518.7),14022.0,2778892.0,Lower,
Incidence of all cancers,Age-standardized rate (both sexes),2014,Toronto Public Health,511.1,(502.7-519.6),14314.0,2807515.0,Lower,
Incidence of all cancers,Age-standardized rate (both sexes),2010,Southwestern Public Health,565.6,(532.9-598.3),1151.0,197418.0,No,
Incidence of all cancers,Age-standardized rate (both sexes),2011,Southwestern Public Health,569.2,(536.8-601.6),1190.0,198517.0,No,
Incidence of all cancers,Age-standardized rate (both sexes),2012,Southwestern Public Health,552.0,(520.4-583.5),1182.0,199908.0,No,
Incidence of all cancers,Age-standardized rate (both sexes),2013,Southwestern Public Health,562.1,(530.6-593.6),1234.0,200531.0,No,
Incidence of all cancers,Age-standardized rate (both sexes),2014,Southwestern Public Health,571.1,(539.6-602.6),1278.0,201585.0,Higher,
Incidence of all cancers,Age-standardized rate (both sexes),2010,Ontario,554.2,(550.1-558.3),70856.0,13135063.0,,
Incidence of all cancers,Age-standardized rate (both sexes),2011,Ontario,563.7,(559.6-567.7),73913.0,13263544.0,,
Incidence of all cancers,Age-standardized rate (both sexes),2012,Ontario,545.3,(541.3-549.2),73546.0,13413702.0,,
Incidence of all cancers,Age-standardized rate (both sexes),2013,Ontario,536.4,(532.5-540.2),74471.0,13556229.0,,
Incidence of all cancers,Age-standardized rate (both sexes),2014,Ontario,531.2,(527.5-535.0),75643.0,13685171.0,,
Incidence of all cancers,Age-standardized rate (both sexes),2010,Mainly urban centres with moderate population density,544.6,(537.0-552.2),19891.0,3923985.0,,
Incidence of all cancers,Age-standardized rate (both sexes),2011,Mainly urban centres with moderate population density,560.7,(553.1-568.3),21033.0,3968037.0,,
Incidence of all cancers,Age-standardized rate (both sexes),2012,Mainly urban centres with moderate population density,547.6,(540.2-555.0),21154.0,4018230.0,,
Incidence of all cancers,Age-standardized rate (both sexes),2013,Mainly urban centres with moderate population density,530.0,(522.8-537.2),21078.0,4064664.0,,
Incidence of all cancers,Age-standardized rate (both sexes),2014,Mainly urban centres with moderate population density,534.5,(527.4-541.6),21837.0,4107070.0,,
Incidence of all cancers,Age-standardized rate (both sexes),2010,Sparsely populated urban-rural mix,580.4,(571.4-589.4),16095.0,2423260.0,,
Incidence of all cancers,Age-standardized rate (both sexes),2011,Sparsely populated urban-rural mix,589.3,(580.3-598.3),16634.0,2426265.0,,
Incidence of all cancers,Age-standardized rate (both sexes),2012,Sparsely populated urban-rural mix,570.7,(561.9-579.5),16429.0,2431429.0,,
Incidence of all cancers,Age-standardized rate (both sexes),2013,Sparsely populated urban-rural mix,560.8,(552.2-569.5),16502.0,2434639.0,,
Incidence of all cancers,Age-standardized rate (both sexes),2014,Sparsely populated urban-rural mix,547.8,(539.3-556.2),16406.0,2436366.0,,
Incidence of all cancers,Age-standardized rate (both sexes),2010,Mainly rural,574.6,(563.8-585.5),10807.0,1749932.0,,
Incidence of all cancers,Age-standardized rate (both sexes),2011,Mainly rural,576.5,(565.7-587.2),11097.0,1758588.0,,
Incidence of all cancers,Age-standardized rate (both sexes),2012,Mainly rural,557.3,(546.9-567.8),11013.0,1770413.0,,
Incidence of all cancers,Age-standardized rate (both sexes),2013,Mainly rural,553.2,(542.9-563.4),11228.0,1781499.0,,
Incidence of all cancers,Age-standardized rate (both sexes),2014,Mainly rural,545.8,(535.7-556.0),11321.0,1793621.0,,
Incidence of all cancers,Age-standardized rate (both sexes),2010,Largest population centres with high population density,506.9,(500.3-513.5),22825.0,5037886.0,,
Incidence of all cancers,Age-standardized rate (both sexes),2011,Largest population centres with high population density,519.1,(512.5-525.7),24068.0,5110654.0,,
Incidence of all cancers,Age-standardized rate (both sexes),2012,Largest population centres with high population density,502.8,(496.4-509.1),24068.0,5193630.0,,
Incidence of all cancers,Age-standardized rate (both sexes),2013,Largest population centres with high population density,499.1,(492.8-505.3),24735.0,5275427.0,,
Incidence of all cancers,Age-standardized rate (both sexes),2014,Largest population centres with high population density,491.6,(485.5-497.7),25122.0,5348114.0,,
Incidence of all cancers,Age-standardized rate (both sexes),2010,Ontario excluding Toronto,563.4,(558.8-568.0),57606.0,10458915.0,,
Incidence of all cancers,Age-standardized rate (both sexes),2011,Ontario excluding Toronto,571.0,(566.5-575.6),59960.0,10558922.0,,
Incidence of all cancers,Age-standardized rate (both sexes),2012,Ontario excluding Toronto,552.3,(547.8-556.7),59729.0,10671386.0,,
Incidence of all cancers,Age-standardized rate (both sexes),2013,Ontario excluding Toronto,542.7,(538.3-547.0),60449.0,10777337.0,,
Incidence of all cancers,Age-standardized rate (both sexes),2014,Ontario excluding Toronto,536.3,(532.0-540.5),61329.0,10877656.0,,
Incidence of all cancers,Age-standardized rate (males),2010,Algoma Public Health,730.3,(666.3-794.2),524.0,58123.0,Higher,
Incidence of all cancers,Age-standardized rate (males),2011,Algoma Public Health,684.1,(622.4-745.7),493.0,57932.0,No,
Incidence of all cancers,Age-standardized rate (males),2012,Algoma Public Health,712.2,(649.8-774.5),521.0,57529.0,Higher,
